divipola,municipio,departamento,region_dane,ano,pct_izquierda,pct_izquierda_predicho,residuo,lag_pct_izquierda,nbi_total,per_ocu,baja_confiabilidad_electoral,peso_muestral,votos_totales_emitidos,ventana_estable,anio_train_min,anio_train_max,residuo_centrado
05101,CIUDAD BOLIVAR,ANTIOQUIA,Andina,2010,1.6450704225352113,22.95498114058667,-21.30991071805146,8.757756702962183,29.97797797099131,53294.0,0,1.0,9159.0,False,2006,2006,
05107,BRICENO,ANTIOQUIA,Andina,2010,1.1473962930273611,25.33813561585027,-24.190739322822907,10.240427426536064,55.03524672708963,53294.0,0,1.0,1199.0,False,2006,2006,
05113,BURITICA,ANTIOQUIA,Andina,2010,0.7214206437291898,23.887153944957902,-23.165733301228713,7.830551989730424,70.30227485197881,53294.0,0,1.0,1839.0,False,2006,2006,
05120,CACERES,ANTIOQUIA,Andina,2010,5.280898876404494,25.71875364891477,-20.437854772510278,10.23089919279144,66.80632120543918,53294.0,0,1.0,5562.0,False,2006,2006,
05125,CAICEDO,ANTIOQUIA,Andina,2010,0.4616805170821791,22.571614617073735,-22.109934099991555,6.697459584295612,63.85227717604072,53294.0,0,1.0,2247.0,False,2006,2006,
05129,CALDAS,ANTIOQUIA,Andina,2010,4.186849911756975,39.8248458665492,-35.637995954792224,28.70408490005032,13.015157249791343,53294.0,0,1.0,28184.0,False,2006,2006,
05134,CAMPAMENTO,ANTIOQUIA,Andina,2010,2.346368715083799,33.27349497220271,-30.927126257118914,17.0995670995671,100.0,53294.0,0,1.0,938.0,False,2006,2006,
05138,CANASGORDAS,ANTIOQUIA,Andina,2010,0.9844134536505332,23.669041747476296,-22.684628293825764,8.25346112886049,57.08539038215395,53294.0,0,1.0,4970.0,False,2006,2006,
05142,CARACOLI,ANTIOQUIA,Andina,2010,2.8042959427207634,35.546235593918965,-32.7419396511982,23.29192546583851,29.927935565917764,53294.0,0,1.0,1719.0,False,2006,2006,
05145,CARAMANTA,ANTIOQUIA,Andina,2010,2.095238095238096,29.311545223422655,-27.21630712818456,16.310033285782215,25.0,53294.0,0,1.0,2193.0,False,2006,2006,
05147,CAREPA,ANTIOQUIA,Andina,2010,7.613234821715387,21.446932790441036,-13.833697968725648,6.349206349206349,43.16623701058568,53294.0,0,1.0,12958.0,False,2006,2006,
