divipola,ano,departamento,municipio,votos_validos,votos_izquierda,pct_izquierda,votos_blanco,votos_nulos,votos_totales_emitidos,pct_votos_blanco,num_candidatos,lag_pct_izquierda,lag_pct_votos_blanco,lag_pct_izquierda_imputado,lag_pct_votos_blanco_imputado,peso_muestral,nbi_total,fuente_nbi,per_ocu,baja_confiabilidad_electoral,valido_para_modelado,region_dane
05347,2006,ANTIOQUIA,HELICONIA,1847,260.0,14.076881429344883,28.0,15.0,1890.0,1.4814814814814816,7,4.0469208211143695,1.7055144968732234,0,0,1.0,34.27200990252205,2005,64310.0,0,1,Andina
05353,2006,ANTIOQUIA,HISPANIA,1572,212.0,13.486005089058525,75.0,8.0,1655.0,4.531722054380665,7,2.9465930018416207,1.3197360527894422,0,0,1.0,28.25814536340852,2005,64310.0,0,1,Andina
05360,2006,ANTIOQUIA,ITAGUI,88470,21353.0,24.135865265061604,2944.0,1515.0,92929.0,3.168009986118434,7,5.946257694706984,2.4804207010178976,0,0,1.0,8.79107945428604,2005,64310.0,0,1,Andina
05361,2006,ANTIOQUIA,ITUANGO,2336,416.0,17.80821917808219,153.0,71.0,2560.0,5.9765625,7,7.936507936507936,8.38709677419355,0,0,1.0,65.215117855835,2005,64310.0,0,1,Andina
05364,2006,ANTIOQUIA,JARDIN,5337,783.0,14.67116357504216,81.0,62.0,5480.0,1.4781021897810218,7,2.703881378107283,1.5228426395939088,0,0,1.0,24.280588193906983,2005,64310.0,0,1,Andina
05368,2006,ANTIOQUIA,JERICO,4993,403.0,8.071299819747647,95.0,93.0,5181.0,1.833622852731133,7,2.838137472283813,1.1663066954643628,0,0,1.0,27.062164487294687,2005,64310.0,0,1,Andina
05376,2006,ANTIOQUIA,LA CEJA,18182,2832.0,15.575844241557585,560.0,303.0,19045.0,2.940404305592019,7,3.0856654038861056,2.0850512427847803,0,0,1.0,13.75297575256917,2005,64310.0,0,1,Andina
05380,2006,ANTIOQUIA,LA ESTRELLA,14414,3682.0,25.54460940752047,448.0,299.0,15161.0,2.954950201174065,7,5.29191616766467,2.278263361513111,0,0,1.0,11.636054329059949,2005,64310.0,0,1,Andina
05390,2006,ANTIOQUIA,LA PINTADA,2102,154.0,7.326355851569934,30.0,20.0,2152.0,1.3940520446096654,7,1.3319126265316994,2.2900763358778624,0,0,1.0,37.62760603882099,2005,64310.0,0,1,Andina
05400,2006,ANTIOQUIA,LA UNION,6099,715.0,11.723233316937202,186.0,55.0,6340.0,2.9337539432176656,7,3.057104402999423,2.530944023646776,0,0,1.0,18.398496770539406,2005,64310.0,0,1,Andina
